2022-12-13 17:48:48,988 INFO    MainThread:916054 [wandb_setup.py:_flush():68] Configure stats pid to 916054
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_setup.py:_flush():68] Loading settings from /home/stu4/.config/wandb/settings
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_setup.py:_flush():68] Loading settings from /home/stu4/AIProject2/wandb/settings
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program': '/home/stu4/AIProject2/train.py'}
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_init.py:_log_setup():476] Logging user logs to /home/stu4/AIProject2/wandb/run-20221213_174848-11zlsjiw/logs/debug.log
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_init.py:_log_setup():477] Logging internal logs to /home/stu4/AIProject2/wandb/run-20221213_174848-11zlsjiw/logs/debug-internal.log
2022-12-13 17:48:48,989 INFO    MainThread:916054 [wandb_init.py:init():516] calling init triggers
2022-12-13 17:48:48,990 INFO    MainThread:916054 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'epochs': 10, 'lr': 0.001, 'batch_size': 64, 'data': 'inbalanced', 'model': 'mynet', 'drop_out': False, 'optimizer': None, 'BatchNorm': False, 'Regularization': False, 'transform': False, 'config_name': 'mynet_inbalanced'}
2022-12-13 17:48:48,990 INFO    MainThread:916054 [wandb_init.py:init():569] starting backend
2022-12-13 17:48:48,990 INFO    MainThread:916054 [wandb_init.py:init():573] setting up manager
2022-12-13 17:48:48,991 INFO    MainThread:916054 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-12-13 17:48:48,993 INFO    MainThread:916054 [wandb_init.py:init():580] backend started and connected
2022-12-13 17:48:48,994 INFO    MainThread:916054 [wandb_init.py:init():658] updated telemetry
2022-12-13 17:48:48,997 INFO    MainThread:916054 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-13 17:48:49,891 INFO    MainThread:916054 [wandb_run.py:_on_init():2006] communicating current version
2022-12-13 17:48:50,286 INFO    MainThread:916054 [wandb_run.py:_on_init():2010] got version response 
2022-12-13 17:48:50,286 INFO    MainThread:916054 [wandb_init.py:init():728] starting run threads in backend
2022-12-13 17:48:52,328 INFO    MainThread:916054 [wandb_run.py:_console_start():1986] atexit reg
2022-12-13 17:48:52,328 INFO    MainThread:916054 [wandb_run.py:_redirect():1844] redirect: SettingsConsole.WRAP_RAW
2022-12-13 17:48:52,329 INFO    MainThread:916054 [wandb_run.py:_redirect():1909] Wrapping output streams.
2022-12-13 17:48:52,329 INFO    MainThread:916054 [wandb_run.py:_redirect():1931] Redirects installed.
2022-12-13 17:48:52,329 INFO    MainThread:916054 [wandb_init.py:init():765] run started, returning control to user process
2022-12-13 17:50:09,433 WARNING MsgRouterThr:916054 [router.py:message_loop():77] message_loop has been closed
